# Motion Design Studios: exported from Notion (collection fd4f344e-8001-4fed-a9e8-0f23ffc82f04)
#source: notion
#cols: name	href	city	style
Capacity	http://capacity.tv/	Burbank CA	Video game-related
Capacity Studios	https://capacity.gg/	Los Angeles CA;Research Triangle NC	Video game-related
ccccccc	https://ccccccc.tv/	Copenhagen Denmark
Chalk Company	https://www.chalkco.com/	Sydney Australia
Champagne Club Sandwich	http://champagneclubsandwich.com/	Montreal QC
Clay	https://clay.global/	San Francisco CA	UI/UX
Clim Studio	https://www.studioclim.com/	Barcelona Spain	Mostly 3D
Clubcamping	https://www.clubcamping.tv/	Argentina
Clubhouse	https://www.clubhouseanimations.com/	Glasgow UK
Clubhouse Paradiso	https://clubhouseparadiso.com/	Glasgow UK
Code3	https://code3.com/	New York NY;Los Angeles CA
Collins	https://www.wearecollins.com/	New York NY;San Francisco CA
Column Five	https://www.columnfivemedia.com/	New York NY;Newport Beach CA	Character-focused;Animation
Company Wide Shut	https://www.companywideshut.com/	Los Angeles CA	TV/Movie-related
Complement Studio	complement.studio	Strasbourg France
Connor Campbell Studio	http://connorcampbell.studio/	London UK
Contend	https://contendco.com/	Los Angeles CA;San Francisco CA;Seattle WA;Toronto ON	Video production;Augmented Reality
Context Creative	https://contextcreative.com/	Toronto ON
Cookie Studio	http://cookie.studio/	London UK;Sao Paolo Brazil
Cossette	https://www.cossette.com/en/home	Toronto ON
Craftsman+	https://www.craftsmanplus.com/	New York NY
Cream	https://wearecream.com/	Richmond VA
Creativ Medium	https://www.creativ-medium.com/	Rotkreuz Switzerland	Installations;Mostly 3D
Crinimo	https://www.crinimo.tv/	Santiago Chile
Critical Mass	https://www.criticalmass.com/	Calgary AB;Chicago IL;Cupertino CA;London UK;Los Angeles CA;Nashville TN;New York NY;San Jose CA;Sao Paolo Brazil;Tokyo JP;Toronto ON
Cub Studio	https://www.cubstudio.com/	Brighton UK
Cut The Mustard	https://www.cutthemustardanimation.com/	Norwich UK	Animation
Dash Studio	https://www.dashstudio.net/	Raleigh NC
Datalands	http://datalands.co/	New York NY
Deep Sky	https://www.deepsky.tv/	Portland OR
Deft	https://www.studiodeft.co.uk/	Bristol UK	Mostly 3D
Designory	https://www.designory.com/	Los Angeles CA;Chicago IL;Jersey City NJ;New York NY;Franklin TN;Tokyo JP;London UK;Hong Kong;Paris France;Portland OR;Philadelphia PA;Phoenix AZ;Singapore;Sydney Australia;Melbourne Australia;Beijing China;Abu Dhabi UAE;Shanghai China
device	https://www.devicers.com/	Barcelona Spain
DIA Studio	http://dia.tv/	New York NY
Digital Kitchen	https://www.thisisdk.com/	Chicago IL
Digital Media Management	https://digitalmediamanagement.com/	Los Angeles CA
Dirty Puppet	https://dirtypuppet.com/	Victoria Australia
Ditroit	https://ditroit.it/	Milan Italy	Mostly 3D
Dress Code	https://dresscodeny.com/work-category/animation/	New York NY
Duke & Duck	https://www.dukeduck.com/	Washington DC	Character-focused
Duo Team	http://duo.team/	New York NY
Dusk	https://dusk.nz/	Wellington New Zealand
Eido	https://www.eido.net/	Irvine CA
Electric Theatre	https://electrictheatre.tv/	London UK	Video production
Elmo	http://elm0.tv	Paris France	Mostly 3D
Eltoro Studio	http://eltorostudio.com/	Montreal QC
Everhouse	https://ever.house/	Chicago IL
Explainly	https://www.explainly.com/	San Francisco CA	Explainer videos
Fakery	https://www.fakery.co.uk/	Somerset UK;London UK	Mostly 3D
Favo Studio	https://favostudio.com/	Porto Portugal	Animation
FEVR	https://wearefevr.com/	New York NY;Los Angeles CA
Fiasco Design	http://fiasco.design/	Bristol UK
Final Frontier	https://finalfrontier.tv/	Shanghai China
Finger Industries	https://fingerindustries.co.uk/	Sheffield UK	Mostly 3D
First Things	http://first-things.studio/	Unknown	Mostly 3D
Fivestone	https://fivestonestudios.com/	Nashville TN
Flatwhite	https://vimeo.com/flatwhitemotion	Sydney Australia
Flow	https://weareflow.uk/	Manchester UK
Flump Studio	https://www.flumpstudio.com/	London UK
Focus Lab	https://focuslab.agency/	Richmond Hill GA
Form Play	https://formplay.co/	Brighton UK
Found	https://www.found-studio.com/	London UK	Mostly 3D;High-end/luxury product renders
Fox&Co.	https://foxandco.design/	Wellington New Zealand	Animation
Frame	https://frame.dk/	Copenhagen Denmark	High-end/luxury product renders
Framestore	https://www.framestore.com/?language=en	Los Angeles CA;Vancouver BC;Chicago IL;New York NY;Montreal QC;London UK;Mumbai India;Melbourne Australia	Augmented Reality;Installations;Mostly 3D
FreshStudio	https://www.freshstudio.tv/	Bristol UK	Mostly 3D
Fromm Studio	https://fromm.studio/	London UK	Mostly 3D
Frost Motion	https://frostmotion.com/	Denver CO	Mostly 3D;Installations
FutureBrand	https://www.futurebrand.com/us	London UK;New York NY;Beijing China;Bogota Colombia;Buenos Aires Argentina;Dubai UAE;Lima Peru;Geneva Switzerland;Madrid Spain;Melbourne Australia;Mexico City;Milan Italy;Mumbai India;Paris France;San Francisco CA;Sao Paolo Brazil;Sydney Australia;Shanghai China
FutureDeluxe	https://futuredeluxe.com/	London UK;Los Angeles CA
Fuzzco	https://fuzzco.com/	Charleston SC;Seattle WA
Gaardhouse	https://www.gaardhouse.com/	Minneapolis MN
GALE	https://www.gale.agency/	New York NY;Singapore;London UK;Toronto ON;Detroit MI;Los Angeles CA;Austin TX
Get Wright On It	https://getwrightonit.com/	London UK	Mostly 3D
Ghost Note Agency	https://www.ghostnoteagency.com/	Washington DC;New York NY;Los Angeles CA
Giant Ant	https://www.giantant.ca/	Vancouver BC
Gimmick Studio	https://gimmickstudio.ca/	Montreal QC
Godfrey Dadich Partners	https://godfreydadich.com/	San Francisco CA	TV/Movie-related
Golden Wolf	https://goldenwolf.tv/	New York NY;London UK
Good All	http://goodallintegrated.com/	Toronto ON
Good Form Studio	http://goodform.studio/	Toronto ON
Good Secrets	https://www.goodsecrets.co/	Los Angeles CA	Mostly 3D
Goods & Services Branding	https://gsbranding.com/	Toronto ON
Gozer	https://gozer.com.au/	Melbourne Australia
Grand Jete	https://grand-jete.com/	Los Angeles CA	TV/Movie-related
Gretel	https://gretelny.com/	New York NY
Gunner	https://www.gunner.work/	Detroit MI
H+ Creative	https://www.hpluscreative.com/	Los Angeles CA	Mostly 3D
Handshake Studios	https://handshakestudios.com/	Boston MA	Explainer videos
Haus	https://madeinhaus.com/	Los Angeles CA	Augmented Reality
Haymaker	https://www.hymkr.co/	Los Angeles CA	Video production
Hecho Studios	https://hechostudios.com/	Los Angeles CA	Video production
Heckler	https://www.heckler.tv/	Surry Hills Australia	Video production;Animation
Helios Design Labs	https://heliosdesignlabs.com/	Toronto ON
Hero Collective	https://herocollective.co/	New York NY
Hippie House	https://www.hippiehouse.tv/index.html	Buenos Aires Argentina;Miami FL	Explainer videos
Hogarth	https://www.hogarth.com/	Mexico City;Miami FL;New York NY;Toronto ON;Sao Paolo Brazil;Buenos Aires Argentina;London UK;Hamburg Germany;Milan Italy;Madrid Spain;Sydney Australia;Melbourne Australia
Hook	https://byhook.com/	Ann Arbor MI;Detroit MI;Los Angeles CA;San Francisco CA
Hornet	https://hellohornet.com/home.html	New York NY
Hound Studio	https://hound-studio.com/	Kharkiv Ukraine	Explainer videos;Animation
Hue&Cry	https://www.hueandcry.tv/	Richmond VA
Huge	http://hugeinc.com/	New York NY
Iamstatic	https://iamstatic.com/	Toronto ON
Igor + Valentine	https://www.iggyvee.com/	Charleston SC
illo	https://illo.tv/	Turin Italy
Indigo Slate	https://www.indigoslate.com/	Seattle WA;Princeton NJ;London UK	Mostly 3D
Ingenuity Studios	https://www.ingenuitystudios.com/	Los Angeles CA;Vancouver BC;New York NY;Atlanta GA;London UK	Animation
Instrument	https://www.instrument.com/	Portland OR;New York NY	Product design
Invisible North	https://www.invisiblenorth.com/	New York NY;Austin TX	Installations
ISO	https://isodesign.co.uk/	Glasgow UK	Installations;TV/Movie-related
IV Studio	https://iv.studio/	Nashville TN	Video game-related
Jam3	https://www.jam3.com/	Toronto ON
Jelly	https://www.jellylondon.com/	London UK;New York NY
John McNeil Studio	https://www.johnmcneilstudio.com/	Berkeley CA
Jumbla	https://www.jumbla.com/	London UK;Melbourne Australia
Kastor & Pollux	http://kastorandpollux.com/	Toronto ON
Kin Things	https://kinthings.tv/	Sydney Australia
King+Country	https://kingandcountry.tv/	Los Angeles CA	TV/Movie-related
Kingdom of Something	http://kingdomofsomething.com/	Amsterdam NL
Kitset	https://www.kitset.net/	Melbourne Australia	Explainer videos
KOJO	https://kojo.com.au/	Melbourne Australia;Sydney Australia;Adelaide Australia;Perth Australia;Brisbane Australia
Koto	https://koto.studio/	London UK;Los Angeles CA
Lasso Studio	https://www.lassostud.io/	Nashville TN
Laundry	https://www.laundrymat.tv/	Los Angeles CA;San Francisco CA
Le Cube	http://www.lecube.tv/	Buenos Aires Argentina;Sao Paolo Brazil;Madrid Spain	Animation;Character-focused
leftchannel	https://leftchannel.com/	Columbus OH
LightRise	https://lightrise.studio/	Sydney Australia
Linetest	https://linetest.tv/	Vancouver BC	Animation;Character-focused
Little Motel	https://www.littlemotel.tv/	Leeds UK
Lobster	http://lobsterstudio.tv/	Sofia Bulgaria	Animation;Character-focused
Locomotive	https://locomotive.ca/en	Montreal QC
Lolly	https://lollystudio.co.uk/	Brighton UK
